genes	uniprot
B9J09_RS01910	B9J09_RS01910
B9J09_RS01915	B9J09_RS01915
B9J09_RS01920	B9J09_RS01920
B9J09_RS01925	B9J09_RS01925
B9J09_RS01930	B9J09_RS01930
B9J09_RS01935	B9J09_RS01935
B9J09_RS01940	B9J09_RS01940
B9J09_RS12310	B9J09_RS12310
B9J09_RS01955	B9J09_RS01955
B9J09_RS01960	B9J09_RS01960
B9J09_RS01965	B9J09_RS01965
B9J09_RS01970	B9J09_RS01970
B9J09_RS01975	B9J09_RS01975
B9J09_RS01980	B9J09_RS01980
B9J09_RS01985	B9J09_RS01985
B9J09_RS01990	B9J09_RS01990
B9J09_RS01995	B9J09_RS01995
B9J09_RS02000	B9J09_RS02000
B9J09_RS02005	B9J09_RS02005
B9J09_RS02015	B9J09_RS02015
B9J09_RS02020	B9J09_RS02020
B9J09_RS02025	B9J09_RS02025
B9J09_RS02030	B9J09_RS02030
B9J09_RS02045	B9J09_RS02045
B9J09_RS02050	B9J09_RS02050
B9J09_RS02055	B9J09_RS02055
B9J09_RS02060	B9J09_RS02060
B9J09_RS02065	B9J09_RS02065
B9J09_RS02070	B9J09_RS02070
B9J09_RS02075	B9J09_RS02075
B9J09_RS02080	B9J09_RS02080
B9J09_RS12830	B9J09_RS12830
B9J09_RS02100	B9J09_RS02100
B9J09_RS02105	B9J09_RS02105
B9J09_RS02110	B9J09_RS02110
B9J09_RS02115	B9J09_RS02115
B9J09_RS02120	B9J09_RS02120
B9J09_RS12835	B9J09_RS12835
B9J09_RS02140	B9J09_RS02140
B9J09_RS02150	B9J09_RS02150
B9J09_RS02155	B9J09_RS02155
B9J09_RS02165	B9J09_RS02165
B9J09_RS02170	B9J09_RS02170
B9J09_RS02175	B9J09_RS02175
B9J09_RS02180	B9J09_RS02180
B9J09_RS02185	B9J09_RS02185
B9J09_RS12575	B9J09_RS12575
B9J09_RS02195	B9J09_RS02195
B9J09_RS02200	B9J09_RS02200
B9J09_RS02205	B9J09_RS02205
B9J09_RS02210	B9J09_RS02210
B9J09_RS02220	B9J09_RS02220
B9J09_RS02225	B9J09_RS02225
B9J09_RS02230	B9J09_RS02230
B9J09_RS02235	B9J09_RS02235
B9J09_RS02240	B9J09_RS02240
B9J09_RS02245	B9J09_RS02245
B9J09_RS02255	B9J09_RS02255
B9J09_RS02265	B9J09_RS02265
B9J09_RS02270	B9J09_RS02270
B9J09_RS12580	B9J09_RS12580
B9J09_RS02280	B9J09_RS02280
B9J09_RS13285	B9J09_RS13285
B9J09_RS02285	B9J09_RS02285
B9J09_RS02290	B9J09_RS02290
B9J09_RS02295	B9J09_RS02295
B9J09_RS02305	B9J09_RS02305
B9J09_RS02310	B9J09_RS02310
B9J09_RS02320	B9J09_RS02320
B9J09_RS02325	B9J09_RS02325
B9J09_RS02330	B9J09_RS02330
B9J09_RS02335	B9J09_RS02335
B9J09_RS02340	B9J09_RS02340
B9J09_RS02345	B9J09_RS02345
B9J09_RS02350	B9J09_RS02350
B9J09_RS02355	B9J09_RS02355
B9J09_RS02360	B9J09_RS02360
B9J09_RS02365	B9J09_RS02365
B9J09_RS02370	B9J09_RS02370
B9J09_RS02375	B9J09_RS02375
B9J09_RS02380	B9J09_RS02380
B9J09_RS02385	B9J09_RS02385
B9J09_RS02390	B9J09_RS02390
B9J09_RS02395	B9J09_RS02395
B9J09_RS02400	B9J09_RS02400
B9J09_RS02405	B9J09_RS02405
B9J09_RS02410	B9J09_RS02410
B9J09_RS02415	B9J09_RS02415
B9J09_RS02420	B9J09_RS02420
B9J09_RS02425	B9J09_RS02425
B9J09_RS02430	B9J09_RS02430
B9J09_RS12850	B9J09_RS12850
B9J09_RS02435	B9J09_RS02435
B9J09_RS02440	B9J09_RS02440
B9J09_RS02445	B9J09_RS02445
B9J09_RS02450	B9J09_RS02450
B9J09_RS02455	B9J09_RS02455
B9J09_RS02460	B9J09_RS02460
B9J09_RS02465	B9J09_RS02465
B9J09_RS02475	B9J09_RS02475
B9J09_RS02480	B9J09_RS02480
B9J09_RS02490	B9J09_RS02490
B9J09_RS02495	B9J09_RS02495
B9J09_RS02510	B9J09_RS02510
B9J09_RS02515	B9J09_RS02515
B9J09_RS02520	B9J09_RS02520
B9J09_RS02530	B9J09_RS02530
B9J09_RS02535	B9J09_RS02535
B9J09_RS02540	B9J09_RS02540
B9J09_RS02545	B9J09_RS02545
B9J09_RS02550	B9J09_RS02550
B9J09_RS02560	B9J09_RS02560
B9J09_RS02570	B9J09_RS02570
B9J09_RS02575	B9J09_RS02575
B9J09_RS02580	B9J09_RS02580
B9J09_RS02585	B9J09_RS02585
B9J09_RS02590	B9J09_RS02590
B9J09_RS02595	B9J09_RS02595
B9J09_RS02605	B9J09_RS02605
B9J09_RS02615	B9J09_RS02615
B9J09_RS02620	B9J09_RS02620
B9J09_RS02625	B9J09_RS02625
B9J09_RS02630	B9J09_RS02630
B9J09_RS02635	B9J09_RS02635
B9J09_RS02640	B9J09_RS02640
B9J09_RS02645	B9J09_RS02645
B9J09_RS02650	B9J09_RS02650
B9J09_RS02665	B9J09_RS02665
B9J09_RS02670	B9J09_RS02670
B9J09_RS02675	B9J09_RS02675
B9J09_RS02680	B9J09_RS02680
B9J09_RS02685	B9J09_RS02685
B9J09_RS02690	B9J09_RS02690
B9J09_RS02695	B9J09_RS02695
B9J09_RS02700	B9J09_RS02700
B9J09_RS02705	B9J09_RS02705
B9J09_RS02710	B9J09_RS02710
B9J09_RS02715	B9J09_RS02715
B9J09_RS02720	B9J09_RS02720
B9J09_RS02725	B9J09_RS02725
B9J09_RS02730	B9J09_RS02730
B9J09_RS02735	B9J09_RS02735
B9J09_RS02740	B9J09_RS02740
B9J09_RS02745	B9J09_RS02745
B9J09_RS02750	B9J09_RS02750
B9J09_RS02755	B9J09_RS02755
B9J09_RS02760	B9J09_RS02760
B9J09_RS02765	B9J09_RS02765
B9J09_RS02770	B9J09_RS02770
B9J09_RS02775	B9J09_RS02775
B9J09_RS02780	B9J09_RS02780
B9J09_RS02785	B9J09_RS02785
B9J09_RS02790	B9J09_RS02790
B9J09_RS02795	B9J09_RS02795
B9J09_RS02800	B9J09_RS02800
B9J09_RS02810	B9J09_RS02810
B9J09_RS02815	B9J09_RS02815
B9J09_RS02820	B9J09_RS02820
B9J09_RS02825	B9J09_RS02825
B9J09_RS02830	B9J09_RS02830
B9J09_RS02835	B9J09_RS02835
B9J09_RS02840	B9J09_RS02840
B9J09_RS02845	B9J09_RS02845
B9J09_RS02850	B9J09_RS02850
B9J09_RS02855	B9J09_RS02855
B9J09_RS02860	B9J09_RS02860
B9J09_RS02865	B9J09_RS02865
B9J09_RS02870	B9J09_RS02870
B9J09_RS02875	B9J09_RS02875
B9J09_RS02880	B9J09_RS02880
B9J09_RS02885	B9J09_RS02885
B9J09_RS02890	B9J09_RS02890
B9J09_RS02895	B9J09_RS02895
B9J09_RS02900	B9J09_RS02900
B9J09_RS02905	B9J09_RS02905
B9J09_RS02910	B9J09_RS02910
B9J09_RS02915	B9J09_RS02915
B9J09_RS12855	B9J09_RS12855
B9J09_RS12860	B9J09_RS12860
B9J09_RS02925	B9J09_RS02925
B9J09_RS02930	B9J09_RS02930
B9J09_RS02935	B9J09_RS02935
B9J09_RS02940	B9J09_RS02940
B9J09_RS02945	B9J09_RS02945
B9J09_RS02950	B9J09_RS02950
B9J09_RS02955	B9J09_RS02955
B9J09_RS02960	B9J09_RS02960
B9J09_RS02965	B9J09_RS02965
B9J09_RS02970	B9J09_RS02970
B9J09_RS02975	B9J09_RS02975
B9J09_RS02985	B9J09_RS02985
B9J09_RS13290	B9J09_RS13290
B9J09_RS02995	B9J09_RS02995
B9J09_RS13295	B9J09_RS13295
B9J09_RS03000	B9J09_RS03000
B9J09_RS12865	B9J09_RS12865
B9J09_RS03005	B9J09_RS03005
B9J09_RS03015	B9J09_RS03015
B9J09_RS03020	B9J09_RS03020
B9J09_RS03025	B9J09_RS03025
B9J09_RS03030	B9J09_RS03030
B9J09_RS03035	B9J09_RS03035
B9J09_RS03040	B9J09_RS03040
B9J09_RS03045	B9J09_RS03045
B9J09_RS03050	B9J09_RS03050
B9J09_RS03055	B9J09_RS03055
B9J09_RS03065	B9J09_RS03065
B9J09_RS03070	B9J09_RS03070
B9J09_RS03075	B9J09_RS03075
B9J09_RS03080	B9J09_RS03080
B9J09_RS03085	B9J09_RS03085
B9J09_RS03090	B9J09_RS03090
B9J09_RS03100	B9J09_RS03100
B9J09_RS03105	B9J09_RS03105
B9J09_RS12870	B9J09_RS12870
B9J09_RS03115	B9J09_RS03115
B9J09_RS03120	B9J09_RS03120
B9J09_RS03130	B9J09_RS03130
B9J09_RS03135	B9J09_RS03135
B9J09_RS03140	B9J09_RS03140
B9J09_RS12585	B9J09_RS12585
B9J09_RS03160	B9J09_RS03160
B9J09_RS03165	B9J09_RS03165
B9J09_RS03170	B9J09_RS03170
B9J09_RS03175	B9J09_RS03175
B9J09_RS03180	B9J09_RS03180
B9J09_RS03185	B9J09_RS03185
B9J09_RS03190	B9J09_RS03190
B9J09_RS03195	B9J09_RS03195
B9J09_RS03200	B9J09_RS03200
B9J09_RS03210	B9J09_RS03210
B9J09_RS03215	B9J09_RS03215
B9J09_RS03220	B9J09_RS03220
B9J09_RS03225	B9J09_RS03225
B9J09_RS03230	B9J09_RS03230
B9J09_RS03235	B9J09_RS03235
B9J09_RS03240	B9J09_RS03240
B9J09_RS03245	B9J09_RS03245
B9J09_RS03250	B9J09_RS03250
B9J09_RS03255	B9J09_RS03255
B9J09_RS03260	B9J09_RS03260
B9J09_RS03265	B9J09_RS03265
B9J09_RS03270	B9J09_RS03270
B9J09_RS03275	B9J09_RS03275
B9J09_RS03280	B9J09_RS03280
B9J09_RS03285	B9J09_RS03285
B9J09_RS03290	B9J09_RS03290
B9J09_RS03295	B9J09_RS03295
B9J09_RS03300	B9J09_RS03300
B9J09_RS03305	B9J09_RS03305
B9J09_RS03310	B9J09_RS03310
B9J09_RS03315	B9J09_RS03315
B9J09_RS12325	B9J09_RS12325
B9J09_RS03325	B9J09_RS03325
B9J09_RS03335	B9J09_RS03335
B9J09_RS03340	B9J09_RS03340
B9J09_RS03345	B9J09_RS03345
B9J09_RS03350	B9J09_RS03350
B9J09_RS03355	B9J09_RS03355
B9J09_RS03360	B9J09_RS03360
B9J09_RS03365	B9J09_RS03365
B9J09_RS03370	B9J09_RS03370
B9J09_RS03375	B9J09_RS03375
B9J09_RS03380	B9J09_RS03380
B9J09_RS03385	B9J09_RS03385
B9J09_RS03395	B9J09_RS03395
B9J09_RS12330	B9J09_RS12330
B9J09_RS12335	B9J09_RS12335
B9J09_RS12875	B9J09_RS12875
B9J09_RS12880	B9J09_RS12880
B9J09_RS12885	B9J09_RS12885
B9J09_RS03420	B9J09_RS03420
B9J09_RS12340	B9J09_RS12340
B9J09_RS03430	B9J09_RS03430
B9J09_RS13300	B9J09_RS13300
B9J09_RS03440	B9J09_RS03440
B9J09_RS03445	B9J09_RS03445
B9J09_RS12120	B9J09_RS12120
B9J09_RS03460	B9J09_RS03460
B9J09_RS03465	B9J09_RS03465
B9J09_RS03470	B9J09_RS03470
B9J09_RS03480	B9J09_RS03480
B9J09_RS03485	B9J09_RS03485
B9J09_RS03490	B9J09_RS03490
B9J09_RS03495	B9J09_RS03495
B9J09_RS03505	B9J09_RS03505
B9J09_RS03510	B9J09_RS03510
B9J09_RS03515	B9J09_RS03515
B9J09_RS03520	B9J09_RS03520
B9J09_RS03525	B9J09_RS03525
B9J09_RS03535	B9J09_RS03535
B9J09_RS03540	B9J09_RS03540
B9J09_RS03545	B9J09_RS03545
B9J09_RS03550	B9J09_RS03550
B9J09_RS03555	B9J09_RS03555
B9J09_RS03560	B9J09_RS03560
B9J09_RS03565	B9J09_RS03565
B9J09_RS03570	B9J09_RS03570
B9J09_RS03575	B9J09_RS03575
B9J09_RS03580	B9J09_RS03580
B9J09_RS03585	B9J09_RS03585
B9J09_RS03595	B9J09_RS03595
B9J09_RS03600	B9J09_RS03600
B9J09_RS03610	B9J09_RS03610
B9J09_RS03615	B9J09_RS03615
B9J09_RS03620	B9J09_RS03620
B9J09_RS03625	B9J09_RS03625
B9J09_RS03630	B9J09_RS03630
B9J09_RS12345	B9J09_RS12345
B9J09_RS03635	B9J09_RS03635
B9J09_RS03640	B9J09_RS03640
B9J09_RS03650	B9J09_RS03650
B9J09_RS03655	B9J09_RS03655
B9J09_RS03660	B9J09_RS03660
B9J09_RS03665	B9J09_RS03665
B9J09_RS03670	B9J09_RS03670
B9J09_RS03675	B9J09_RS03675
B9J09_RS03680	B9J09_RS03680
B9J09_RS03685	B9J09_RS03685
B9J09_RS03690	B9J09_RS03690
B9J09_RS03695	B9J09_RS03695
B9J09_RS03700	B9J09_RS03700
B9J09_RS03705	B9J09_RS03705
B9J09_RS03710	B9J09_RS03710
B9J09_RS03715	B9J09_RS03715
B9J09_RS03720	B9J09_RS03720
B9J09_RS03725	B9J09_RS03725
B9J09_RS03730	B9J09_RS03730
B9J09_RS03735	B9J09_RS03735
